lat,lon,address,locality,state,postcode,territory_count,territory1,territory2,territory3,territory4,territory5
-27.5298,153.0849,MOUNT GRAVATT EAST QLD 4122,MOUNT GRAVATT EAST,QLD,4122,2,Yuggera,Turrbal,NA,NA,NA
-27.5555,153.0807,UPPER MOUNT GRAVATT QLD 4122,UPPER MOUNT GRAVATT,QLD,4122,2,Yuggera,Turrbal,NA,NA,NA
-27.5561,153.1026,WISHART QLD 4122,WISHART,QLD,4122,2,Yuggera,Turrbal,NA,NA,NA
-27.5671,153.1236,ROCHEDALE QLD 4123,ROCHEDALE,QLD,4123,2,Yuggera,Turrbal,NA,NA,NA
-27.599,153.1298,ROCHEDALE SOUTH QLD 4123,ROCHEDALE SOUTH,QLD,4123,1,Yuggera,NA,NA,NA,NA
-27.6886,153.0192,BORONIA HEIGHTS QLD 4124,BORONIA HEIGHTS,QLD,4124,2,Yuggera,Yugambeh,NA,NA,NA
-27.6845,152.9558,GREENBANK QLD 4124,GREENBANK,QLD,4124,2,Yuggera,Yugambeh,NA,NA,NA
-27.7741,152.8551,LYONS QLD 4124,LYONS,QLD,4124,1,Yugambeh,NA,NA,NA,NA
-27.7605,152.9404,NEW BEITH QLD 4124,NEW BEITH,QLD,4124,1,Yugambeh,NA,NA,NA,NA
-27.7893,152.9247,SILVERBARK RIDGE QLD 4124,SILVERBARK RIDGE,QLD,4124,1,Yugambeh,NA,NA,NA,NA
-27.7473,153.0293,MUNRUBEN QLD 4125,MUNRUBEN,QLD,4125,1,Yugambeh,NA,NA,NA,NA
-27.7038,153.0673,PARK RIDGE QLD 4125,PARK RIDGE,QLD,4125,1,Yugambeh,NA,NA,NA,NA
-27.7273,153.0347,PARK RIDGE SOUTH QLD 4125,PARK RIDGE SOUTH,QLD,4125,1,Yugambeh,NA,NA,NA,NA
-27.6274,153.1545,DAISY HILL QLD 4127,DAISY HILL,QLD,4127,2,Yuggera,Yugambeh,NA,NA,NA
-27.6074,153.1678,PRIESTDALE QLD 4127,PRIESTDALE,QLD,4127,1,Yuggera,NA,NA,NA,NA
-27.6383,153.1286,SLACKS CREEK QLD 4127,SLACKS CREEK,QLD,4127,2,Yuggera,Yugambeh,NA,NA,NA
-27.6215,153.1372,SPRINGWOOD QLD 4127,SPRINGWOOD,QLD,4127,2,Yuggera,Yugambeh,NA,NA,NA
-27.6507,153.1754,SHAILER PARK QLD 4128,SHAILER PARK,QLD,4128,2,Yuggera,Yugambeh,NA,NA,NA
-27.6717,153.1695,TANAH MERAH QLD 4128,TANAH MERAH,QLD,4128,2,Yuggera,Yugambeh,NA,NA,NA
-27.6837,153.1859,LOGANHOLME QLD 4129,LOGANHOLME,QLD,4129,3,Bundjalung,Yuggera,Yugambeh,NA,NA
-27.6724,153.255,CARBROOK QLD 4130,CARBROOK,QLD,4130,3,Yuggera,Yugambeh,Quandamooka,NA,NA
-27.66,153.2121,CORNUBIA QLD 4130,CORNUBIA,QLD,4130,2,Yuggera,Yugambeh,NA,NA,NA
-27.6753,153.1348,LOGANLEA QLD 4131,LOGANLEA,QLD,4131,2,Yuggera,Yugambeh,NA,NA,NA
-27.6656,153.1437,MEADOWBROOK QLD 4131,MEADOWBROOK,QLD,4131,2,Yuggera,Yugambeh,NA,NA,NA
-27.6862,153.0853,CRESTMEAD QLD 4132,CRESTMEAD,QLD,4132,2,Yuggera,Yugambeh,NA,NA,NA
-27.6743,153.0971,MARSDEN QLD 4132,MARSDEN,QLD,4132,2,Yuggera,Yugambeh,NA,NA,NA
-27.7466,153.0832,CHAMBERS FLAT QLD 4133,CHAMBERS FLAT,QLD,4133,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7172,153.1068,LOGAN RESERVE QLD 4133,LOGAN RESERVE,QLD,4133,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7054,153.1315,WATERFORD QLD 4133,WATERFORD,QLD,4133,2,Bundjalung,Yugambeh,NA,NA,NA
-27.6928,153.1291,WATERFORD WEST QLD 4133,WATERFORD WEST,QLD,4133,2,Yuggera,Yugambeh,NA,NA,NA
-27.4987,153.0617,COORPAROO QLD 4151,COORPAROO,QLD,4151,2,Yuggera,Turrbal,NA,NA,NA
-27.4973,153.0769,CAMP HILL QLD 4152,CAMP HILL,QLD,4152,2,Yuggera,Turrbal,NA,NA,NA
-27.4872,153.1,CARINA QLD 4152,CARINA,QLD,4152,2,Yuggera,Turrbal,NA,NA,NA
-27.506,153.0881,CARINA HEIGHTS QLD 4152,CARINA HEIGHTS,QLD,4152,2,Yuggera,Turrbal,NA,NA,NA
-27.5095,153.1115,CARINDALE QLD 4152,CARINDALE,QLD,4152,2,Yuggera,Turrbal,NA,NA,NA
-27.5098,153.135,BELMONT QLD 4153,BELMONT,QLD,4153,2,Yuggera,Turrbal,NA,NA,NA
-27.4954,153.1569,GUMDALE QLD 4154,GUMDALE,QLD,4154,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4882,153.1822,RANSOME QLD 4154,RANSOME,QLD,4154,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4839,153.1554,WAKERLEY QLD 4154,WAKERLEY,QLD,4154,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.5167,153.1688,CHANDLER QLD 4155,CHANDLER,QLD,4155,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.5607,153.1613,BURBANK QLD 4156,BURBANK,QLD,4156,2,Yuggera,Turrbal,NA,NA,NA
-27.5389,153.2034,CAPALABA QLD 4157,CAPALABA,QLD,4157,2,Yuggera,Quandamooka,NA,NA,NA
-27.586,153.2042,SHELDON QLD 4157,SHELDON,QLD,4157,2,Yuggera,Quandamooka,NA,NA,NA
-27.4809,153.1995,THORNESIDE QLD 4158,THORNESIDE,QLD,4158,2,Yuggera,Quandamooka,NA,NA,NA
-27.4966,153.2078,BIRKDALE QLD 4159,BIRKDALE,QLD,4159,2,Yuggera,Quandamooka,NA,NA,NA
-27.5081,153.2554,ORMISTON QLD 4160,ORMISTON,QLD,4160,2,Yuggera,Quandamooka,NA,NA,NA
-27.4839,153.2416,WELLINGTON POINT QLD 4160,WELLINGTON POINT,QLD,4160,2,Yuggera,Quandamooka,NA,NA,NA
-27.5321,153.2291,ALEXANDRA HILLS QLD 4161,ALEXANDRA HILLS,QLD,4161,2,Yuggera,Quandamooka,NA,NA,NA
-27.527,153.2687,CLEVELAND QLD 4163,CLEVELAND,QLD,4163,2,Yuggera,Quandamooka,NA,NA,NA
-27.5684,153.2625,THORNLANDS QLD 4164,THORNLANDS,QLD,4164,2,Yuggera,Quandamooka,NA,NA,NA
-27.6196,153.2202,MOUNT COTTON QLD 4165,MOUNT COTTON,QLD,4165,3,Yuggera,Yugambeh,Quandamooka,NA,NA
-27.6454,153.2907,REDLAND BAY QLD 4165,REDLAND BAY,QLD,4165,3,Yuggera,Yugambeh,Quandamooka,NA,NA
-27.5822,153.3019,VICTORIA POINT QLD 4165,VICTORIA POINT,QLD,4165,2,Yuggera,Quandamooka,NA,NA,NA
-27.4832,153.0479,EAST BRISBANE QLD 4169,EAST BRISBANE,QLD,4169,2,Yuggera,Turrbal,NA,NA,NA
-27.474,153.0352,KANGAROO POINT QLD 4169,KANGAROO POINT,QLD,4169,2,Yuggera,Turrbal,NA,NA,NA
-27.4723,153.0927,CANNON HILL QLD 4170,CANNON HILL,QLD,4170,2,Yuggera,Turrbal,NA,NA,NA
-27.4612,153.0766,MORNINGSIDE QLD 4170,MORNINGSIDE,QLD,4170,2,Yuggera,Turrbal,NA,NA,NA
-27.4785,153.0631,NORMAN PARK QLD 4170,NORMAN PARK,QLD,4170,2,Yuggera,Turrbal,NA,NA,NA
-27.4802,153.0776,SEVEN HILLS QLD 4170,SEVEN HILLS,QLD,4170,2,Yuggera,Turrbal,NA,NA,NA
-27.4567,153.0687,BALMORAL QLD 4171,BALMORAL,QLD,4171,2,Yuggera,Turrbal,NA,NA,NA
-27.449,153.0604,BULIMBA QLD 4171,BULIMBA,QLD,4171,2,Yuggera,Turrbal,NA,NA,NA
-27.4647,153.0586,HAWTHORNE QLD 4171,HAWTHORNE,QLD,4171,2,Yuggera,Turrbal,NA,NA,NA
-27.4488,153.106,MURARRIE QLD 4172,MURARRIE,QLD,4172,2,Yuggera,Turrbal,NA,NA,NA
-27.4736,153.125,TINGALPA QLD 4173,TINGALPA,QLD,4173,2,Yuggera,Turrbal,NA,NA,NA
-27.444,153.1275,HEMMANT QLD 4174,HEMMANT,QLD,4174,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4205,153.1513,LYTTON QLD 4178,LYTTON,QLD,4178,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.3857,153.1737,PORT OF BRISBANE QLD 4178,PORT OF BRISBANE,QLD,4178,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4371,153.168,WYNNUM QLD 4178,WYNNUM,QLD,4178,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4537,153.153,WYNNUM WEST QLD 4178,WYNNUM WEST,QLD,4178,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4676,153.1931,LOTA QLD 4179,LOTA,QLD,4179,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4533,153.184,MANLY QLD 4179,MANLY,QLD,4179,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4656,153.1674,MANLY WEST QLD 4179,MANLY WEST,QLD,4179,3,Yuggera,Turrbal,Quandamooka,NA,NA
-27.4003,153.4507,AMITY QLD 4183,AMITY,QLD,4183,2,Yuggera,Quandamooka,NA,NA,NA
-27.4978,153.4047,DUNWICH QLD 4183,DUNWICH,QLD,4183,2,Yuggera,Quandamooka,NA,NA,NA
-27.5255,153.4642,NORTH STRADBROKE ISLAND QLD 4183,NORTH STRADBROKE ISLAND,QLD,4183,2,Yuggera,Quandamooka,NA,NA,NA
